	ligand	receptor	annotation	pathway
GAD2_SLC6A8|GABBR2	GAD2_SLC6A8	GABBR2	Non-protein Signaling	GABA-B
GAD2_SLC6A8|GABRA1_GABRB2	GAD2_SLC6A8	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA1_GABRB3	GAD2_SLC6A8	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA1_GABRD_GABRB2	GAD2_SLC6A8	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA1_GABRG2_GABRB2	GAD2_SLC6A8	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA1_GABRG2_GABRB3	GAD2_SLC6A8	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA2_GABRG2_GABRB3	GAD2_SLC6A8	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA3_GABRE_GABRB3	GAD2_SLC6A8	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA3_GABRG2_GABRB3	GAD2_SLC6A8	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA4_GABRD_GABRB2	GAD2_SLC6A8	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA4_GABRD_GABRB3	GAD2_SLC6A8	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA4_GABRG2_GABRB3	GAD2_SLC6A8	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA5_GABRG2_GABRB3	GAD2_SLC6A8	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA6_GABRD_GABRB3	GAD2_SLC6A8	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRA6_GABRG2_GABRB3	GAD2_SLC6A8	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABRQ_GABRA3_GABRB3	GAD2_SLC6A8	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GHRH|GHSR	GHRH	GHSR	Secreted	GHRH
GHRL|GHSR	GHRL	GHSR	Secreted	GHRELIN
GLS2_SLC1A1|GRIA1	GLS2_SLC1A1	GRIA1	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIA2	GLS2_SLC1A1	GRIA2	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIA3	GLS2_SLC1A1	GRIA3	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIA4	GLS2_SLC1A1	GRIA4	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK1	GLS2_SLC1A1	GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK1_GRIK4	GLS2_SLC1A1	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK2	GLS2_SLC1A1	GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK2_GRIK4	GLS2_SLC1A1	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK3	GLS2_SLC1A1	GRIK3	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK3_GRIK4	GLS2_SLC1A1	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK3_GRIK5	GLS2_SLC1A1	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK5_GRIK1	GLS2_SLC1A1	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIK5_GRIK2	GLS2_SLC1A1	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIN1_GRIN2A	GLS2_SLC1A1	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIN1_GRIN2B	GLS2_SLC1A1	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIN1_GRIN2D	GLS2_SLC1A1	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRIN2C_GRIN1	GLS2_SLC1A1	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM1	GLS2_SLC1A1	GRM1	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM2	GLS2_SLC1A1	GRM2	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM3	GLS2_SLC1A1	GRM3	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM4	GLS2_SLC1A1	GRM4	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM5	GLS2_SLC1A1	GRM5	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM6	GLS2_SLC1A1	GRM6	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM7	GLS2_SLC1A1	GRM7	Non-protein Signaling	Glutamate
GLS2_SLC1A1|GRM8	GLS2_SLC1A1	GRM8	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIA1	GLS2_SLC1A2	GRIA1	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIA2	GLS2_SLC1A2	GRIA2	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIA3	GLS2_SLC1A2	GRIA3	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIA4	GLS2_SLC1A2	GRIA4	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK1	GLS2_SLC1A2	GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK1_GRIK4	GLS2_SLC1A2	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK2	GLS2_SLC1A2	GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK2_GRIK4	GLS2_SLC1A2	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK3	GLS2_SLC1A2	GRIK3	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK3_GRIK4	GLS2_SLC1A2	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK3_GRIK5	GLS2_SLC1A2	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK5_GRIK1	GLS2_SLC1A2	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIK5_GRIK2	GLS2_SLC1A2	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIN1_GRIN2A	GLS2_SLC1A2	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIN1_GRIN2B	GLS2_SLC1A2	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIN1_GRIN2D	GLS2_SLC1A2	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRIN2C_GRIN1	GLS2_SLC1A2	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM1	GLS2_SLC1A2	GRM1	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM2	GLS2_SLC1A2	GRM2	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM3	GLS2_SLC1A2	GRM3	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM4	GLS2_SLC1A2	GRM4	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM5	GLS2_SLC1A2	GRM5	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM6	GLS2_SLC1A2	GRM6	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM7	GLS2_SLC1A2	GRM7	Non-protein Signaling	Glutamate
GLS2_SLC1A2|GRM8	GLS2_SLC1A2	GRM8	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIA1	GLS2_SLC1A3	GRIA1	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIA2	GLS2_SLC1A3	GRIA2	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIA3	GLS2_SLC1A3	GRIA3	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIA4	GLS2_SLC1A3	GRIA4	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK1	GLS2_SLC1A3	GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK1_GRIK4	GLS2_SLC1A3	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK2	GLS2_SLC1A3	GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK2_GRIK4	GLS2_SLC1A3	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK3	GLS2_SLC1A3	GRIK3	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK3_GRIK4	GLS2_SLC1A3	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK3_GRIK5	GLS2_SLC1A3	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK5_GRIK1	GLS2_SLC1A3	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIK5_GRIK2	GLS2_SLC1A3	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIN1_GRIN2A	GLS2_SLC1A3	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIN1_GRIN2B	GLS2_SLC1A3	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIN1_GRIN2D	GLS2_SLC1A3	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRIN2C_GRIN1	GLS2_SLC1A3	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM1	GLS2_SLC1A3	GRM1	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM2	GLS2_SLC1A3	GRM2	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM3	GLS2_SLC1A3	GRM3	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM4	GLS2_SLC1A3	GRM4	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM5	GLS2_SLC1A3	GRM5	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM6	GLS2_SLC1A3	GRM6	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM7	GLS2_SLC1A3	GRM7	Non-protein Signaling	Glutamate
GLS2_SLC1A3|GRM8	GLS2_SLC1A3	GRM8	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIA1	GLS2_SLC1A7	GRIA1	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIA2	GLS2_SLC1A7	GRIA2	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIA3	GLS2_SLC1A7	GRIA3	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIA4	GLS2_SLC1A7	GRIA4	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK1	GLS2_SLC1A7	GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK1_GRIK4	GLS2_SLC1A7	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK2	GLS2_SLC1A7	GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK2_GRIK4	GLS2_SLC1A7	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK3	GLS2_SLC1A7	GRIK3	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK3_GRIK4	GLS2_SLC1A7	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK3_GRIK5	GLS2_SLC1A7	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK5_GRIK1	GLS2_SLC1A7	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIK5_GRIK2	GLS2_SLC1A7	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIN1_GRIN2A	GLS2_SLC1A7	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIN1_GRIN2B	GLS2_SLC1A7	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIN1_GRIN2D	GLS2_SLC1A7	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRIN2C_GRIN1	GLS2_SLC1A7	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM1	GLS2_SLC1A7	GRM1	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM2	GLS2_SLC1A7	GRM2	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM3	GLS2_SLC1A7	GRM3	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM4	GLS2_SLC1A7	GRM4	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM5	GLS2_SLC1A7	GRM5	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM6	GLS2_SLC1A7	GRM6	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM7	GLS2_SLC1A7	GRM7	Non-protein Signaling	Glutamate
GLS2_SLC1A7|GRM8	GLS2_SLC1A7	GRM8	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIA1	GLS_SLC1A1	GRIA1	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIA2	GLS_SLC1A1	GRIA2	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIA3	GLS_SLC1A1	GRIA3	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIA4	GLS_SLC1A1	GRIA4	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK1	GLS_SLC1A1	GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK1_GRIK4	GLS_SLC1A1	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK2	GLS_SLC1A1	GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK2_GRIK4	GLS_SLC1A1	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK3	GLS_SLC1A1	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK3_GRIK4	GLS_SLC1A1	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK3_GRIK5	GLS_SLC1A1	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK5_GRIK1	GLS_SLC1A1	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIK5_GRIK2	GLS_SLC1A1	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIN1_GRIN2A	GLS_SLC1A1	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIN1_GRIN2B	GLS_SLC1A1	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIN1_GRIN2D	GLS_SLC1A1	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRIN2C_GRIN1	GLS_SLC1A1	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM1	GLS_SLC1A1	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM2	GLS_SLC1A1	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM3	GLS_SLC1A1	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM4	GLS_SLC1A1	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM5	GLS_SLC1A1	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM6	GLS_SLC1A1	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM7	GLS_SLC1A1	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A1|GRM8	GLS_SLC1A1	GRM8	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIA1	GLS_SLC1A2	GRIA1	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIA2	GLS_SLC1A2	GRIA2	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIA3	GLS_SLC1A2	GRIA3	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIA4	GLS_SLC1A2	GRIA4	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK1	GLS_SLC1A2	GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK1_GRIK4	GLS_SLC1A2	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK2	GLS_SLC1A2	GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK2_GRIK4	GLS_SLC1A2	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK3	GLS_SLC1A2	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK3_GRIK4	GLS_SLC1A2	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK3_GRIK5	GLS_SLC1A2	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK5_GRIK1	GLS_SLC1A2	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIK5_GRIK2	GLS_SLC1A2	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIN1_GRIN2A	GLS_SLC1A2	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIN1_GRIN2B	GLS_SLC1A2	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIN1_GRIN2D	GLS_SLC1A2	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRIN2C_GRIN1	GLS_SLC1A2	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM1	GLS_SLC1A2	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM2	GLS_SLC1A2	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM3	GLS_SLC1A2	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM4	GLS_SLC1A2	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM5	GLS_SLC1A2	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM6	GLS_SLC1A2	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM7	GLS_SLC1A2	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A2|GRM8	GLS_SLC1A2	GRM8	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIA1	GLS_SLC1A3	GRIA1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIA2	GLS_SLC1A3	GRIA2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIA3	GLS_SLC1A3	GRIA3	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIA4	GLS_SLC1A3	GRIA4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK1	GLS_SLC1A3	GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK1_GRIK4	GLS_SLC1A3	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK2	GLS_SLC1A3	GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK2_GRIK4	GLS_SLC1A3	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3	GLS_SLC1A3	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3_GRIK4	GLS_SLC1A3	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3_GRIK5	GLS_SLC1A3	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK5_GRIK1	GLS_SLC1A3	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK5_GRIK2	GLS_SLC1A3	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2A	GLS_SLC1A3	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2B	GLS_SLC1A3	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2D	GLS_SLC1A3	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN2C_GRIN1	GLS_SLC1A3	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM1	GLS_SLC1A3	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM2	GLS_SLC1A3	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM3	GLS_SLC1A3	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM4	GLS_SLC1A3	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM5	GLS_SLC1A3	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM6	GLS_SLC1A3	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM7	GLS_SLC1A3	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM8	GLS_SLC1A3	GRM8	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA1	GLS_SLC1A7	GRIA1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA2	GLS_SLC1A7	GRIA2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA3	GLS_SLC1A7	GRIA3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA4	GLS_SLC1A7	GRIA4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK1	GLS_SLC1A7	GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK1_GRIK4	GLS_SLC1A7	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK2	GLS_SLC1A7	GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK2_GRIK4	GLS_SLC1A7	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3	GLS_SLC1A7	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3_GRIK4	GLS_SLC1A7	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3_GRIK5	GLS_SLC1A7	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK5_GRIK1	GLS_SLC1A7	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK5_GRIK2	GLS_SLC1A7	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2A	GLS_SLC1A7	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2B	GLS_SLC1A7	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2D	GLS_SLC1A7	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN2C_GRIN1	GLS_SLC1A7	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM1	GLS_SLC1A7	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM2	GLS_SLC1A7	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM3	GLS_SLC1A7	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM4	GLS_SLC1A7	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM5	GLS_SLC1A7	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM6	GLS_SLC1A7	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM7	GLS_SLC1A7	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM8	GLS_SLC1A7	GRM8	Non-protein Signaling	Glutamate
HBEGF|ERBB2_EGFR	HBEGF	ERBB2_EGFR	Secreted	EGF
HBEGF|ERBB2_ERBB4	HBEGF	ERBB2_ERBB4	Secreted	EGF
HBEGF|ERBB4	HBEGF	ERBB4	Secreted	EGF
HCRT|HCRTR1	HCRT	HCRTR1	Secreted	HCRT
HCRT|HCRTR2	HCRT	HCRTR2	Secreted	HCRT
HDC|HRH1	HDC	HRH1	Non-protein Signaling	Histamine
HDC|HRH2	HDC	HRH2	Non-protein Signaling	Histamine
HDC|HRH3	HDC	HRH3	Non-protein Signaling	Histamine
HSD17B1|GPER1	HSD17B1	GPER1	Non-protein Signaling	Estradiol
HSPG2|DAG1	HSPG2	DAG1	ECM-Receptor	HSPG
IBSP|ITGAV_ITGB3	IBSP	ITGAV_ITGB3	ECM-Receptor	BSP
IGF1|ITGAV_ITGB3	IGF1	ITGAV_ITGB3	Secreted	IGF
IGF2|ITGAV_ITGB3	IGF2	ITGAV_ITGB3	Secreted	IGF
ITGAV_ITGB3|ADGRA2	ITGAV_ITGB3	ADGRA2	Cell-Cell Contact	ADGRA
ITGAV_ITGB3|ADGRE2	ITGAV_ITGB3	ADGRE2	Cell-Cell Contact	ADGRE
ITGAV_ITGB3|ADGRE5	ITGAV_ITGB3	ADGRE5	Cell-Cell Contact	ADGRE
L1CAM|ITGAV_ITGB3	L1CAM	ITGAV_ITGB3	Cell-Cell Contact	L1CAM
LAMA1|DAG1	LAMA1	DAG1	ECM-Receptor	LAMININ
LAMA1|SV2A	LAMA1	SV2A	ECM-Receptor	LAMININ
LAMA1|SV2B	LAMA1	SV2B	ECM-Receptor	LAMININ
LAMA1|SV2C	LAMA1	SV2C	ECM-Receptor	LAMININ
LAMA2|DAG1	LAMA2	DAG1	ECM-Receptor	LAMININ
LAMA2|SV2A	LAMA2	SV2A	ECM-Receptor	LAMININ
LAMA2|SV2B	LAMA2	SV2B	ECM-Receptor	LAMININ
LAMA2|SV2C	LAMA2	SV2C	ECM-Receptor	LAMININ
LAMA3|DAG1	LAMA3	DAG1	ECM-Receptor	LAMININ
LAMA3|SV2A	LAMA3	SV2A	ECM-Receptor	LAMININ
LAMA3|SV2B	LAMA3	SV2B	ECM-Receptor	LAMININ
LAMA3|SV2C	LAMA3	SV2C	ECM-Receptor	LAMININ
LAMA4|DAG1	LAMA4	DAG1	ECM-Receptor	LAMININ
LAMA4|SV2A	LAMA4	SV2A	ECM-Receptor	LAMININ
LAMA4|SV2B	LAMA4	SV2B	ECM-Receptor	LAMININ
LAMA4|SV2C	LAMA4	SV2C	ECM-Receptor	LAMININ
LAMA5|DAG1	LAMA5	DAG1	ECM-Receptor	LAMININ
LAMA5|SV2A	LAMA5	SV2A	ECM-Receptor	LAMININ
LAMA5|SV2B	LAMA5	SV2B	ECM-Receptor	LAMININ
LAMA5|SV2C	LAMA5	SV2C	ECM-Receptor	LAMININ
LAMB1|DAG1	LAMB1	DAG1	ECM-Receptor	LAMININ
LAMB1|SV2A	LAMB1	SV2A	ECM-Receptor	LAMININ
LAMB1|SV2B	LAMB1	SV2B	ECM-Receptor	LAMININ
LAMB1|SV2C	LAMB1	SV2C	ECM-Receptor	LAMININ
LAMB2|DAG1	LAMB2	DAG1	ECM-Receptor	LAMININ
